nombre_entidad;tipo
Tarjeta Pampeana S.A;RETAIL
Tarjeta PL S.A.;RETAIL
TARJETA TITANIO S.A.;RETAIL
Tarjeta Zero S.A.;RETAIL
TARJETAS DEL MAR S.A.;RETAIL
TARTAN S.A.;RETAIL
TDF S.A.;RETAIL
TECH DEMETER SA;RETAIL
TELEPEAJE S.A.;RETAIL
TEVISAL S.A.;RETAIL
Total Cred S.R.L.;RETAIL
Única compañía de Crédito S.A.;RETAIL
URBAN INVESTMENT SAS;RETAIL
VALLE FERTIL S.A.;RETAIL
VILLTER S.R.L.;RETAIL
VISION S.A.;RETAIL
VYC S.R.L.;RETAIL
WENANCE SA;RETAIL
YPF S.A.;RETAIL
Zafiro S.A.;RETAIL
